mes_ultimo_unico_robo,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto,year
julio,descuido,noche,Trabajo/Estudio,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
agosto,cosquilleo,tarde,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,si,Reporte de objetos perdidos en línea,fiscalia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,descuido,tarde,Residencia propia,si,no,si,no,no,si,no,no,no,si,si,si,Reporte de objetos perdidos en línea,fiscalia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
enero,cosquilleo,tarde,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
septiembre,raponazo,mañana,Calle/Avenida,si,si,si,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,atraco,mañana,Transporte público,si,si,si,no,no,si,si,no,no,no,no,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
febrero,cosquilleo,mañana,Mercado/Comercio,no,si,si,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
mayo,cosquilleo,mañana,Transporte público,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,raponazo,mañana,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,si,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,si,2018
marzo,cosquilleo,mañana,Transporte público,si,no,no,no,no,no,no,no,no,no,si,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
julio,atraco,noche,Entretenimiento,si,si,no,si,no,si,si,no,si,no,no,si,denuncias en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
abril,cosquilleo,mañana,Transporte público,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,atraco,mañana,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,raponazo,noche,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,si,si,Reporte de objetos perdidos en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,descuido,noche,Entretenimiento,si,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
febrero,raponazo,tarde,Calle/Avenida,si,no,si,no,no,si,no,no,no,no,si,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,atraco,tarde,Calle/Avenida,si,si,no,no,no,si,no,no,no,no,no,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,descuido,madrugada,Calle/Avenida,si,si,no,no,no,no,no,no,si,no,no,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,atraco,tarde,Trabajo/Estudio,no,si,no,no,no,si,no,no,no,no,si,si,denuncias en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,atraco,tarde,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,descuido,mañana,Entretenimiento,no,si,si,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,raponazo,mañana,Transporte público,si,si,si,no,no,no,no,no,no,no,no,si,Reporte de objetos perdidos en línea,fiscalia,proteccion,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,descuido,mañana,Mercado/Comercio,si,si,si,si,no,no,no,no,no,no,si,si,denuncias en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,descuido,noche,Parque/Deporte,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
septiembre,engaño,tarde,Trabajo/Estudio,si,no,no,no,no,no,no,no,no,no,si,si,Reporte de objetos perdidos en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,raponazo,noche,Calle/Avenida,no,si,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
octubre,raponazo,tarde,Calle/Avenida,si,si,si,si,no,no,no,no,si,no,si,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
agosto,atraco,noche,Calle/Avenida,si,no,si,no,no,no,si,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,cosquilleo,noche,Calle/Avenida,no,no,si,no,no,no,no,no,no,no,si,si,Reporte de objetos perdidos en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,descuido,noche,Calle/Avenida,no,si,si,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
junio,cosquilleo,tarde,Calle/Avenida,si,no,si,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,raponazo,noche,Calle/Avenida,si,si,no,no,no,no,si,no,no,no,no,si,denuncias en línea,fiscalia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
septiembre,atraco,noche,Calle/Avenida,si,si,si,no,no,no,si,no,si,no,no,si,denuncias en línea,fiscalia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,raponazo,tarde,Entretenimiento,si,si,si,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,proteccion,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,atraco,noche,Calle/Avenida,si,si,no,no,no,si,no,no,no,no,si,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
marzo,atraco,mañana,Transporte público,no,no,no,si,no,si,no,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,atraco,mañana,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,si,denuncias en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
noviembre,atraco,noche,Calle/Avenida,si,si,no,no,no,si,no,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
enero,raponazo,mañana,Calle/Avenida,no,si,si,no,no,no,no,no,no,no,no,si,Reporte de objetos perdidos en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
diciembre,atraco,mañana,Trabajo/Estudio,si,si,no,no,no,si,no,no,no,no,si,si,Reporte de objetos perdidos en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,si,2018
marzo,atraco,tarde,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,si,denuncias en línea,policia,justicia,denuncia_online,denuncia_online,si_denuncia,no,2018
agosto,raponazo,tarde,Calle/Avenida,si,si,si,no,no,no,no,no,no,no,si,si,Reporte de objetos perdidos en línea,policia,requisito para tramite,denuncia_online,denuncia_online,si_denuncia,no,2018
febrero,cosquilleo,noche,Transporte público,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
abril,cosquilleo,tarde,Transporte público,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,denuncia_online,denuncia_online,si_denuncia,no,2018
febrero,cosquilleo,noche,Transporte público,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,evitar ocurrencia,denuncia_online,denuncia_online,si_denuncia,no,2018
abril,descuido,tarde,Trabajo/Estudio,si,no,no,no,no,no,no,no,no,no,no,si,denuncias en línea,policia,obligacion_ciudadana,denuncia_online,denuncia_online,si_denuncia,no,2018
