DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto,year
419476,237,1,1,1,"52,5386208383528",agosto,este municipio,raponazo,tarde,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,si,denuncias en línea,policia,justicia,,,,no,2018
419476,237,2,1,2,"52,5386208383528",agosto,este municipio,raponazo,noche,Calle/Avenida,si,si,no,no,no,si,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419477,237,2,1,2,"58,8311514491934",noviembre,este municipio,atraco,tarde,Calle/Avenida,no,si,no,no,no,no,no,no,no,no,no,no,,,,,,consideró innecesario,no,2018
419482,237,4,1,4,"47,1789855228639",septiembre,este municipio,raponazo,noche,Trabajo/Estudio,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419482,237,5,1,5,"47,1789855228639",septiembre,este municipio,atraco,noche,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419484,237,3,1,3,"66,2566566548347",marzo,este municipio,atraco,noche,Parque/Deporte,si,no,no,no,no,no,si,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419485,237,4,1,4,"60,3393241885126",junio,este municipio,cosquilleo,tarde,Parque/Deporte,si,no,no,no,no,,,,,,no,no,,,,,,desconfianza en la justicia,no,2018
419493,237,2,1,2,"2123,66400375703",diciembre,este municipio,atraco,madrugada,Calle/Avenida,no,si,no,no,no,no,si,no,no,no,no,no,,,,,,falta de pruebas,no,2018
419497,237,5,1,5,"1295,30841687434",noviembre,este municipio,raponazo,mañana,Calle/Avenida,no,si,no,no,no,no,si,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419504,237,1,1,1,"2490,12411068187",diciembre,este municipio,descuido,tarde,Trabajo/Estudio,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,consideró innecesario,no,2018
419519,237,2,1,2,"1984,21023460661",diciembre,este municipio,descuido,madrugada,Entretenimiento,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,consideró innecesario,no,2018
419537,237,3,1,3,"943,443207174863",junio,este municipio,descuido,tarde,Calle/Avenida,no,si,no,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,si,2018
419564,237,3,1,3,"2634,92255649955",diciembre,otro,descuido,mañana,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,desconocimiento del proceso,no,2018
419581,237,3,1,3,"58,7382221339728",julio,este municipio,atraco,noche,Calle/Avenida,no,si,no,no,no,no,si,no,no,no,no,no,,,,,,consideró innecesario,no,2018
419584,237,3,1,3,"67,6286266827741",febrero,este municipio,descuido,mañana,Trabajo/Estudio,no,no,si,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419593,237,2,1,2,"65,2190791456925",septiembre,este municipio,atraco,noche,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,si,C.A.I.,policia,recuperar bienes,no,requisitos excesivos,,no,2018
419602,237,1,1,1,"79,4016112876504",mayo,este municipio,atraco,mañana,Trabajo/Estudio,si,si,no,no,no,no,si,no,no,no,no,no,,,,,,trámites engorrosos,no,2018
419610,237,1,1,1,"57,6059750909085",abril,este municipio,descuido,tarde,Residencia propia,si,no,no,no,no,no,no,no,no,no,no,si,Estación de Policía,policia,evitar ocurrencia,si,,,no,2018
419611,237,1,1,1,"58,2139119218117",septiembre,este municipio,raponazo,tarde,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,no,,,,,,trámites engorrosos,no,2018
419613,237,1,1,1,"149,989673089803",julio,este municipio,atraco,tarde,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419619,237,2,1,2,"77,4043840819831",julio,este municipio,atraco,noche,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,no,,,,,,consideró innecesario,si,2018
419636,237,2,1,2,"53,9957994983411",agosto,este municipio,cosquilleo,noche,Transporte público,si,si,no,no,no,,,,,,no,no,,,,,,falta de pruebas,no,2018
419641,237,1,1,1,"74,9948365449015",marzo,este municipio,descuido,tarde,Trabajo/Estudio,no,si,no,no,no,no,no,no,no,no,no,si,Estación de Policía,policia,recuperar bienes,si,,,no,2018
419644,237,1,1,1,"80,2141445364504",noviembre,otro,fleteo,tarde,Calle/Avenida,no,si,no,no,no,si,no,no,no,no,no,no,,,,,,desconocimiento del proceso,no,2018
419648,237,3,1,3,"59,2383988962095",abril,este municipio,atraco,tarde,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,si,Estación de Policía,policia,proteccion,si,,,no,2018
419662,237,2,1,2,"49,2777399398418",abril,este municipio,raponazo,tarde,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,si,si,C.A.I.,policia,recuperar bienes,no,info imprecisa,,no,2018
