DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto,year
400470,237,6,1,6,"1234,69601677148",2,2,4,2,7,1,1,1,1,1,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400473,237,1,1,1,"729,493669171193",9,1,7,2,1,2,2,2,1,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400482,237,2,1,2,"319,45790928718",3,1,7,3,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400488,237,5,1,5,"332,394540876024",5,1,1,3,5,1,2,2,2,2,,,,,,2,2,,,,,,3.0,2,2018
400491,237,7,1,7,"204,431708188619",5,1,7,1,1,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400494,237,3,1,3,"346,582752648726",4,1,4,3,5,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,1,1.0,1.0,2.0,2.0,3.0,,2,2018
400497,237,1,1,1,"354,609722040021",4,1,1,3,5,1,2,2,2,2,,,,,,2,2,,,,,,5.0,2,2018
400501,237,2,1,2,"320,852444630629",10,1,5,2,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400506,237,5,1,5,"4562,48364802821",11,1,7,3,6,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400509,237,2,1,2,"6395,50251585536",11,1,3,3,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,1,1.0,1.0,5.0,2.0,3.0,,2,2018
400513,237,2,1,2,"3189,58667390584",7,2,4,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,2.0,2,2018
400532,237,2,1,2,"57,1123378711453",8,1,3,4,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,5.0,2,2018
400542,237,2,1,2,"41,994250549993",12,1,7,2,7,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400547,237,2,1,2,"35,2281408992657",3,1,4,3,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,1,1.0,1.0,2.0,1.0,,,2,2018
400552,237,4,1,4,"125,077982743136",10,1,4,4,2,1,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400553,237,1,1,1,"129,080641972591",2,1,7,2,2,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,1,5.0,1.0,6.0,,,,2,2018
400554,237,5,1,5,"115,955885194186",11,1,4,3,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,1,1.0,1.0,5.0,1.0,,,2,2018
400555,237,3,1,3,"162,916693826129",12,1,4,4,5,2,2,1,2,2,1.0,2.0,2.0,1.0,2.0,2,2,,,,,,5.0,2,2018
400555,237,6,1,6,"162,916693826129",12,1,4,4,5,2,2,1,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400556,237,2,1,2,"121,799919142606",5,1,4,2,9,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,1.0,2,2018
400559,237,1,1,1,"114,844498108996",5,1,4,3,2,1,1,1,2,2,2.0,1.0,2.0,2.0,2.0,2,1,1.0,1.0,4.0,1.0,,,2,2018
400563,237,1,1,1,"121,602242191204",2,1,4,3,6,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2,2018
400564,237,1,1,1,"109,560352002315",8,1,4,2,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,1,1,2.0,1.0,1.0,2.0,1.0,,2,2018
400565,237,1,1,1,"101,442813761195",5,1,4,3,9,2,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,1,5.0,1.0,6.0,,,,1,2018
400571,237,1,1,1,"108,933868811538",4,1,7,2,7,2,1,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400572,237,5,1,5,"108,836151595209",1,1,4,1,2,2,1,1,2,2,2.0,2.0,1.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400574,237,2,1,2,"114,321519361219",5,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,1,1,2.0,2.0,6.0,1.0,,,2,2018
400575,237,4,1,4,"112,315523779193",10,1,4,3,2,2,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400575,237,5,1,5,"112,315523779193",4,1,3,1,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,2.0,2,2018
400575,237,8,1,8,"112,315523779193",2,1,4,2,5,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,1.0,2,2018
400578,237,1,1,1,"87,0696273909468",6,1,4,3,2,2,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400585,237,3,1,3,"121,746039363545",1,1,4,3,2,2,2,2,1,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400587,237,2,1,2,"107,377021184294",1,1,4,2,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,7.0,2,2018
400596,237,3,1,3,"98,4818835352771",8,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400599,237,2,1,2,"103,36698380608",6,1,4,3,2,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2,2018
400607,237,5,1,5,"116,166586013258",12,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,1,2,,,,,,3.0,2,2018
400607,237,9,1,9,"116,166586013258",5,1,4,4,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,1,2,,,,,,3.0,2,2018
400613,237,2,1,2,"96,2043802088528",11,1,4,3,7,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,1,2,,,,,,3.0,2,2018
400613,237,3,1,3,"96,2043802088528",8,1,4,1,1,2,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400614,237,1,1,1,"126,148280987824",4,1,4,2,7,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400614,237,2,1,2,"126,148280987824",5,1,4,2,7,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400621,237,1,1,1,"151,467835688488",11,1,4,3,2,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400626,237,3,1,3,"125,851894738307",7,1,4,3,2,2,2,1,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400632,237,1,1,1,"113,213368686263",6,1,4,3,7,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400633,237,3,1,3,"110,63865654669",5,1,4,4,2,1,1,1,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400633,237,4,1,4,"110,63865654669",10,1,4,4,2,1,1,1,2,1,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400636,237,4,1,4,"145,603312799514",12,1,1,3,3,1,2,2,2,2,,,,,,2,2,,,,,,5.0,2,2018
400637,237,2,1,2,"115,531615744522",12,1,7,4,7,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400640,237,6,1,6,"118,043398015659",9,1,4,2,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400641,237,1,1,1,"122,310242621429",11,1,4,4,7,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,1,2,,,,,,3.0,2,2018
400647,237,1,1,1,"125,242603606196",7,1,7,3,2,2,1,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,1,2018
400655,237,6,1,6,"102,616308151189",12,1,3,2,2,1,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
