DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto
503403,237,3,1,3,"1128,04639954288",8,1,1,3,5,1,2,2,2,2,,,,,,2,1,3.0,1.0,5.0,2.0,1.0,,2
503404,237,2,1,2,"996,733315652257",7,1,4,3,2,1,1,1,2,2,1.0,2.0,2.0,1.0,2.0,1,1,1.0,1.0,2.0,2.0,2.0,,2
503409,237,3,1,3,"1136,68079162886",2,1,4,1,5,1,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,1,4.0,,5.0,,,,2
503410,237,1,1,1,"1217,37556382644",10,2,7,2,1,2,2,1,2,1,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
503421,237,2,1,2,"983,213617740569",8,1,4,1,5,2,1,1,2,2,1.0,1.0,2.0,2.0,2.0,2,1,4.0,,4.0,,,,2
503427,237,1,1,1,"959,356351268959",11,1,5,4,2,1,1,2,1,2,1.0,2.0,2.0,2.0,2.0,1,1,2.0,2.0,4.0,2.0,1.0,,2
503428,237,3,1,3,"1253,15704850101",12,1,4,2,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503440,237,2,1,2,"1030,59841340158",6,1,4,2,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,4.0,2
503442,237,8,1,8,"704,922528460133",5,1,7,4,6,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
503445,237,1,1,1,"1043,869840676",4,1,4,4,2,2,2,1,2,2,2.0,1.0,2.0,2.0,2.0,2,1,1.0,1.0,1.0,2.0,4.0,,2
503455,237,1,1,1,"1043,869840676",10,1,1,3,5,1,2,2,2,2,,,,,,2,1,3.0,1.0,5.0,2.0,2.0,,2
503455,237,2,1,2,"1043,869840676",8,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503466,237,3,1,3,"843,100410735074",8,1,3,4,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
503472,237,1,1,1,"1016,87337138397",7,1,7,3,5,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,5.0,1.0,3.0,,,,2
503472,237,2,1,2,"1016,87337138397",12,1,7,4,5,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,5.0,1.0,3.0,,,,1
503479,237,1,1,1,"917,85433950167",10,1,7,3,5,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503480,237,2,1,2,"1006,4928762927",9,1,4,4,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,1,2,,,,,,3.0,2
503480,237,3,1,3,"1006,4928762927",1,1,1,1,5,1,1,2,2,2,,,,,,2,2,,,,,,3.0,2
503482,237,2,1,2,"1067,39017660745",3,1,4,3,1,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,1,1,1.0,1.0,1.0,2.0,1.0,,2
503483,237,1,1,1,"954,823810660147",12,1,1,2,2,1,2,2,2,2,,,,,,2,1,1.0,1.0,1.0,1.0,,,2
503484,237,3,1,3,"45,5145031501338",5,1,1,2,5,1,1,2,2,2,,,,,,2,1,3.0,1.0,1.0,1.0,,,2
503489,237,1,1,1,"528,767667345222",6,2,7,2,11,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,4.0,,5.0,,,,2
503520,237,5,1,5,"590,52624157832",9,1,4,3,2,2,1,2,2,2,2.0,1.0,2.0,1.0,2.0,2,2,,,,,,2.0,2
503527,237,2,1,2,"45,5436771888454",9,1,7,1,7,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
503551,237,3,1,3,"59,466185711213",7,1,7,1,5,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,2.0,2.0,5.0,2.0,2.0,,2
503554,237,2,1,2,"54,3516288657396",9,1,3,3,2,1,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503555,237,1,1,1,"60,6243392879475",12,1,4,3,5,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
503559,237,1,1,1,"65,8724512152427",10,1,4,3,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,1
503563,237,2,1,2,"67,0598534904618",12,1,4,3,1,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,4.0,2
503574,237,2,1,2,"55,8172093208889",5,1,4,2,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
503587,237,2,1,2,"74,9595983385623",12,1,3,2,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
503596,237,2,1,2,"75,7534428848056",2,1,1,2,1,2,1,2,2,2,,,,,,2,2,,,,,,8.0,2
503600,237,1,1,1,"72,3531419981524",11,1,2,4,2,1,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2
503604,237,2,1,2,"54,8261369895066",3,1,1,3,2,1,2,2,2,2,,,,,,2,2,,,,,,3.0,2
503611,237,1,1,1,"67,4146313457026",9,1,3,3,9,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,7.0,2
503623,237,1,1,1,"63,3339450431959",11,1,4,3,2,1,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,3.0,2
503636,237,2,1,2,"75,3051521189352",10,1,3,4,2,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,2.0,2
503656,237,2,1,2,"552,862277616157",5,1,3,3,3,2,2,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,1
503664,237,1,1,1,"658,619738948366",7,1,3,2,2,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,1,1,2.0,1.0,5.0,1.0,,,2
503665,237,2,1,2,"522,90033230715",6,1,3,3,2,1,1,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,7.0,2
503671,237,2,1,2,"396,939646395439",6,1,1,3,2,1,1,1,2,2,,,,,,2,1,4.0,,6.0,,,,2
503673,237,1,1,1,"732,027911059902",10,1,4,4,2,1,2,2,1,2,1.0,1.0,2.0,2.0,2.0,1,1,3.0,1.0,5.0,2.0,3.0,,2
503673,237,2,1,2,"732,027911059902",10,1,4,4,2,1,2,2,1,2,1.0,1.0,2.0,2.0,2.0,1,1,3.0,1.0,5.0,2.0,3.0,,2
503687,237,1,1,1,"765,732957341879",2,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,6.0,2
