DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P578;P1341;P1229;P1335;P1338;P1339S3;P1339S5;P1339S1;P1339S2;P1339S6;P580S1;P580S2;P580S3;P580S5;P580S6;P1598;P1324;P582;P583;P1114;P1599;P1600;P1113;P1318;FEX_C
400565;237;1;1;1;5;1;4;3;9;2;1;1;2;2;1;2;2;2;2;2;1;5;1;6; ; ; ;1;101,442813761195
400571;237;1;1;1;4;1;7;2;7;2;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;108,933868811538
400572;237;5;1;5;1;1;4;1;2;2;1;1;2;2;2;2;1;2;2;2;2; ; ; ; ; ;3;2;108,836151595209
400574;237;2;1;2;5;1;4;4;2;1;2;2;2;2;1;2;2;2;2;1;1;2;2;6;1; ; ;2;114,321519361219
400575;237;4;1;4;10;1;4;3;2;2;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;112,315523779193
400575;237;5;1;5;4;1;3;1;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;2;2;112,315523779193
400575;237;8;1;8;2;1;4;2;5;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;1;2;112,315523779193
400578;237;1;1;1;6;1;4;3;2;2;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;87,0696273909468
400585;237;3;1;3;1;1;4;3;2;2;2;2;1;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;121,746039363545
400587;237;2;1;2;1;1;4;2;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;7;2;107,377021184294
400596;237;3;1;3;8;1;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;98,4818835352771
400599;237;2;1;2;6;1;4;3;2;1;1;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2;103,36698380608
400607;237;5;1;5;12;1;4;4;2;1;2;2;2;2;1;2;2;2;2;1;2; ; ; ; ; ;3;2;116,166586013258
400607;237;9;1;9;5;1;4;4;2;1;1;2;2;2;1;2;2;2;2;1;2; ; ; ; ; ;3;2;116,166586013258
400613;237;2;1;2;11;1;4;3;7;1;2;2;2;2;1;2;2;2;2;1;2; ; ; ; ; ;3;2;96,2043802088528
400613;237;3;1;3;8;1;4;1;1;2;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;96,2043802088528
400614;237;1;1;1;4;1;4;2;7;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;126,148280987824
400614;237;2;1;2;5;1;4;2;7;1;1;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;126,148280987824
400621;237;1;1;1;11;1;4;3;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;151,467835688488
400626;237;3;1;3;7;1;4;3;2;2;2;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;125,851894738307
400632;237;1;1;1;6;1;4;3;7;1;1;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;113,213368686263
400633;237;3;1;3;5;1;4;4;2;1;1;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;110,63865654669
400633;237;4;1;4;10;1;4;4;2;1;1;1;2;1;2;1;2;2;2;2;2; ; ; ; ; ;3;2;110,63865654669
400636;237;4;1;4;12;1;1;3;3;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;145,603312799514
400637;237;2;1;2;12;1;7;4;7;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;115,531615744522
400640;237;6;1;6;9;1;4;2;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;118,043398015659
400641;237;1;1;1;11;1;4;4;7;1;2;2;2;2;1;2;2;2;2;1;2; ; ; ; ; ;3;2;122,310242621429
400647;237;1;1;1;7;1;7;3;2;2;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;1;125,242603606196
400655;237;6;1;6;12;1;3;2;2;1;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;102,616308151189
400660;237;1;1;1;4;1;4;3;5;1;1;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;2;2;127,433312572976
400664;237;1;1;1;3;2;1;9;2;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;124,801142097866
400669;237;14;1;14;7;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;149,64686178891
400673;237;4;1;4;3;1;4;3;2;2;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;121,033242591394
400673;237;5;1;5;3;1;4;2;2;1;2;2;2;2;2;1;2;2;2;1;1;4;1;4; ; ; ;2;121,033242591394
400676;237;1;1;1;9;1;3;4;2;2;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;128,685286872745
400676;237;2;1;2;6;1;4;4;5;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2;128,685286872745
400681;237;3;1;3;6;1;4;2;7;1;1;1;2;2;1;2;2;2;2;1;2; ; ; ; ; ;3;2;128,026344624225
400699;237;1;1;1;9;1;4;2;2;2;2;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;5;2;109,840824279637
400702;237;1;1;1;12;1;7;3;7;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;125,69544229701
400703;237;2;1;2;8;1;4;3;2;2;1;2;1;2;1;2;2;2;2;2;2; ; ; ; ; ;2;2;118,925042945848
400707;237;1;1;1;12;1;4;3;2;2;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;125,300087197164
400713;237;1;1;1;1;1;7;2;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;113,75252095845
400714;237;2;1;2;3;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;117,57790405589
400721;237;2;1;2;2;1;4;3;1;1;1;1;1;2;2;1;2;1;2;1;1;1;1;5;2;4; ;2;130,818512248558
400721;237;3;1;3;7;1;4;2;2;1;1;2;2;2;1;2;2;1;2;2;1;4;1;1; ; ; ;2;130,818512248558
400721;237;4;1;4;3;1;4;2;11;1;1;2;2;2;1;2;2;1;2;1;2; ; ; ; ; ;1;2;130,818512248558
400722;237;4;1;4;12;1;4;3;1;1;1;2;2;2;1;2;2;1;2;1;2; ; ; ; ; ;3;2;125,497764148567
400722;237;1;1;1;12;1;4;3;1;1;1;2;2;2;1;2;2;1;2;1;2; ; ; ; ; ;3;2;125,497764148567
400723;237;1;1;1;9;1;1;2;3;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;132,52332523914
400723;237;2;1;2;6;1;4;3;2;2;1;2;1;2;1;2;2;2;2;1;2; ; ; ; ; ;3;2;132,52332523914
400735;237;3;1;3;9;1;4;2;2;1;1;1;2;2;1;2;2;2;2;1;2; ; ; ; ; ;6;2;129,619794244779
400741;237;2;1;2;12;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;141,765274433119
400746;237;1;1;1;9;1;4;2;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;106,422086540401
400749;237;9;1;9;4;1;4;3;1;2;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;142,814748987088
400754;237;3;1;3;6;1;3;3;5;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;120,527147604591
400761;237;4;1;4;2;1;4;3;2;1;2;2;2;2;2;1;2;2;2;1;2; ; ; ; ; ;1;2;145,603312799514
400763;237;2;1;2;6;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;125,69544229701
400777;237;6;1;6;11;1;4;2;2;1;1;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;115,544271013478
400777;237;2;1;2;3;1;4;3;2;1;1;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;1;115,544271013478
400777;237;3;1;3;3;1;4;2;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;115,544271013478
400781;237;1;1;1;10;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;1;3;1;5;2;2; ;2;113,678862646032
400792;237;2;1;2;7;2;3;3;3;1;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;416,427650686789
400794;237;4;1;4;6;1;4;2;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;515,899736666369
400802;237;7;1;7;2;1;6;1;9;1;2;1;2;2;2;2;2;2;1;2;1;1;1;6;1; ; ;2;507,081620478789
400821;237;1;1;1;1;2;3;3;5;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;543,870445526089
400822;237;2;1;2;11;2;4;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;457,096543670539
400822;237;5;1;5;8;2;3;3;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2;457,096543670539
400831;237;2;1;2;6;2;4;2;9;1;1;1;1;2;1;2;2;2;2;1;1;2;2;6;1; ; ;2;416,427650686789
400846;237;3;1;3;12;1;4;4;2;1;2;2;2;2;1;2;2;2;2;1;1;3;1;5;2;1; ;2;136,461837553001
400849;237;3;1;3;5;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;118,032046505817
400865;237;1;1;1;1;1;4;3;2;2;2;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2;135,528087403567
400869;237;1;1;1;12;1;4;1;7;1;1;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ;3;2;101,432738797599
400872;237;1;1;1;6;1;3;4;2;1;1;2;2;2;2;1;2;2;2;2;1;3;2;2;1; ; ;2;128,044467915359
400873;237;2;1;2;11;1;4;4;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;5;2;116,267468170883
400874;237;2;1;2;6;1;4;3;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;116,961964952862
400882;237;1;1;1;2;1;4;2;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;102,260871555837
400883;237;1;1;1;2;1;3;3;7;1;1;1;2;2;2;2;2;1;2;2;1;1;1;5;2;2; ;2;93,062924683919
400889;237;2;1;2;11;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;776,099925990777
400891;237;1;1;1;2;1;4;2;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;462,567462624241
400897;237;1;1;1;10;2;4;4;5;1;1;2;2;2;1;2;2;2;2;2;1;2;1;1;2;1; ;2;585,916898279721
400899;237;2;1;2;9;1;2;3;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;454,082669463284
400904;237;2;1;2;11;1;4;2;2;1;2;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;585,916898279721
400908;237;3;1;3;4;1;4;4;7;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;643,949718884304
400908;237;4;1;4;8;1;3;4;2;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;643,949718884304
400916;237;1;1;1;8;1;4;3;7;2;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;7;2;775,383614795861
400919;237;1;1;1;12;1;4;3;3;2;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;438,331318580704
400925;237;3;1;3;2;1;4;2;6;1;2;2;2;2;2;1;2;2;2;1;2; ; ; ; ; ;5;2;321,516742770164
400926;237;3;1;3;1;1;4;1;2;2;2;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;835,861402365492
