DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P578;P1341;P1229;P1335;P1338;P1339S3;P1339S5;P1339S1;P1339S2;P1339S6;P580S1;P580S2;P580S3;P580S5;P580S6;P1598;P1324;P582;P583;P1114;P1599;P1600;P1113;P1318;FEX_C
418136;237;1;1;1;12;1;1;1;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;332,203078002324
418138;237;2;1;2;6;1;1;2;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;6;2;305,473090932541
418153;237;1;1;1;7;1;4;2;2;2;2;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2;266,769455765751
418245;237;1;1;1;11;1;4;3;2;1;2;2;2;2;1;2;2;2;2;1;2; ; ; ; ; ;3;2;114,844498108996
418258;237;4;1;4;11;1;4;3;2;1;2;2;2;2;2;1;2;2;2;1;1;1;1;5;1; ; ;2;114,781737397832
418261;237;1;1;1;4;1;4;3;2;1;1;1;2;2;1;2;2;2;2;2;1;3;1;1;1; ; ;2;99,8986214029063
418262;237;3;1;3;8;1;3;3;2;1;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;130,818512248558
418266;237;1;1;1;5;1;7;2;2;2;1;2;2;2;2;2;2;2;2;2;1;5;1;5; ; ; ;2;117,125065365077
418304;237;2;1;2;3;1;4;3;2;2;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;110,577653503227
418307;237;3;1;3;7;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;103,03688686482
418308;237;1;3;1;9;1;4;2;2;1;1;1;1;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;109,288990286022
418309;237;1;1;1;12;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;138,124913018127
418309;237;5;1;5;12;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;138,124913018127
418318;237;3;1;3;9;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;135,051905714799
418332;237;1;1;1;9;1;4;4;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;5;1; ; ;1;115,078777053709
418338;237;1;1;1;11;1;4;1;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;105,095830445143
418360;237;3;1;3;3;1;4;3;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2;105,869885145113
418360;237;6;1;6;3;1;4;3;2;1;2;2;2;2;2;1;2;2;2;1;1;3;1;5;1; ; ;2;105,869885145113
418367;237;3;1;3;12;1;4;3;7;1;1;2;2;2;1;2;2;2;2;1;2; ; ; ; ; ;6;2;110,601600227581
418372;237;1;1;1;6;1;2;4;2;1;1;2;2;2;2;2;2;2;1;2;2; ; ; ; ; ;5;2;110,738642734235
418373;237;1;1;1;9;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;129,080641972591
418384;237;1;1;1;9;1;4;4;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;134,42227167024
418385;237;1;1;1;10;1;4;4;2;1;2;2;2;2;2;1;2;2;2;1;1;2;2;4;1; ; ;2;133,899294119504
418391;237;5;1;5;1;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;118,75619478781
418404;237;6;1;6;6;1;4;2;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;111,149603508583
418406;237;4;1;4;6;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;122,013856371912
418409;237;9;1;9;11;1;4;4;2;1;2;1;2;2;2;1;2;2;2;1;1;1;1;4;1; ; ;2;123,830007477092
418417;237;1;1;1;12;1;4;3;1;2;1;2;2;2;1;2;2;2;2;1;1;1;1;3;1; ; ;2;110,281007701495
418437;237;4;1;4;9;1;4;4;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;119,982489950954
418440;237;3;1;3;8;1;4;3;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;7;2;89,8676691660749
418440;237;4;1;4;11;1;4;3;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;1;2;89,8676691660749
418444;237;1;1;1;1;1;4;2;3;2;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;7;2;117,051407052658
418449;237;2;1;2;12;1;4;2;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;110,738642734235
418459;237;4;1;4;10;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;106,471798128465
418465;237;1;1;1;10;2;1;3;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;125,242603606196
418468;237;2;1;2;12;1;4;4;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2;114,439638593976
418472;237;2;1;2;6;1;4;3;9;2;1;2;2;2;1;2;2;2;2;1;1;1;1;5;2;3; ;2;121,87005919957
418604;237;5;1;5;2;1;3;4;11;2;1;1;1;2;2;2;2;2;2;1;1;1;1;4;1; ; ;2;110,675036308075
418630;237;1;1;1;11;1;4;4;2;1;1;1;2;2;2;1;2;2;2;1;1;1;1;5;1; ; ;2;99,9601695176588
418630;237;2;1;2;6;1;4;2;2;2;1;2;2;2;1;1;2;2;2;2;2; ; ; ; ; ;3;2;99,9601695176588
418632;237;1;1;1;8;1;4;3;2;2;1;2;2;2;2;1;2;2;2;2;1;3;1;4;1; ; ;2;94,0423416453194
418640;237;3;1;3;11;1;4;4;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;2;2;108,929879714202
418645;237;2;1;2;10;1;4;3;2;1;1;1;2;2;1;1;2;2;2;2;2; ; ; ; ; ;3;2;108,998427137436
418664;237;3;1;3;6;1;4;3;2;2;1;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;142,258172514289
418706;237;1;1;1;4;1;4;2;1;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5; ;2;90,1647475150318
418732;237;4;1;4;6;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;2;2;117,055187288791
418749;237;3;1;3;8;1;4;3;2;2;1;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;91,6511126984728
418755;237;1;1;1;2;1;4;1;2;1;1;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;187,336421461274
418773;237;2;1;2;7;1;4;3;2;1;1;2;2;2;2;1;2;2;2;2;1;1;1;6;1; ; ;2;131,155006239766
418781;237;3;1;3;2;1;4;4;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;101,058607882916
418874;237;1;1;1;3;1;7;1;1;2;1;2;2;2;2;2;2;2;2;2;1;1;1;2;1; ; ;2;1600,21275811619
418900;237;2;1;2;10;1;7;2;7;1;2;2;2;2;2;2;2;2;2;2;1;2;2;6;1; ; ;1;1990,71738383927
418913;237;1;1;1;8;1;7;2;7;2;2;2;1;2;2;2;2;2;2;2;2; ; ; ; ; ;4;1;2275,29966208838
419009;237;2;1;2;5;1;1;3;5;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;975,448298932844
419010;237;1;1;1;12;1;1;2;2;2;1;2;2;2; ; ; ; ; ;2;1;4;1;6; ; ; ;2;965,357810252545
419011;237;2;1;2;8;1;3;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;1;2;1641,47788668657
419014;237;3;1;3;2;1;4;3;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;5;2;975,448298932844
419015;237;1;1;1;6;1;2;3;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;1435,94224425957
419023;237;3;1;3;5;1;1;4;5;1;1;2;1;2; ; ; ; ; ;2;1;4;1;5; ; ; ;2;795,313214137008
419024;237;1;1;1;6;1;1;3;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;1402,36108343979
419024;237;6;1;6;2;2;1;3;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;7;2;1402,36108343979
419025;237;2;1;2;9;1;7;4;11;2;1;1;2;1;2;2;2;2;2;2;2; ; ; ; ; ;3;2;1305,14601607314
419025;237;3;1;3;11;1;4;4;4;2;1;1;2;2;2;1;2;1;2;2;2; ; ; ; ; ;2;2;1305,14601607314
419025;237;1;1;1;11;1;7;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;9;2;1305,14601607314
419030;237;1;1;1;10;1;1;2;5;1;2;2;2;2; ; ; ; ; ;1;1;2;1;5;2;3; ;2;2089,04101212817
419031;237;4;1;4;10;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;2;3; ;2;1041,87183069882
419032;237;2;1;2;1;1;1;2;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;1003,94817546972
419035;237;1;1;1;12;1;4;2;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;1061,24249491526
419035;237;3;1;3;7;1;1;3;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;1061,24249491526
419038;237;2;1;2;11;1;1;4;5;1;2;1;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;965,357810252545
419039;237;1;1;1;2;1;1;2;5;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;910,712166172261
419040;237;2;1;2;11;1;3;3;5;1;2;2;2;2;2;2;2;2;2;2;1;1;1;6;2;2; ;2;1040,54144799489
419048;237;1;1;1;3;2;4;4;5;1;2;2;2;2;2;2;2;1;2;2;1;4;1;5; ; ; ;2;564,075060622081
419049;237;1;1;1;9;1;3;2;2;1;2;2;2;2;2;2;2;2;2;1;2; ; ; ; ; ;6;2;608,860325191099
419053;237;1;1;1;5;1;4;4;2;1;1;2;2;2;2;1;2;1;2;2;2; ; ; ; ; ;9;2;784,626712075038
419053;237;2;1;2;10;1;4;3;2;1;1;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;784,626712075038
419054;237;1;1;1;4;1;1;2;2;2;1;2;2;2; ; ; ; ; ;2;1;5;1;5; ; ; ;1;750,355149304859
419058;237;2;1;2;4;1;3;2;7;1;2;1;2;2;2;2;2;2;2;1;1;1;1;4;1; ; ;2;1205,69605449133
419062;237;1;1;1;7;1;1;3;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;746,196741297377
419065;237;1;1;1;5;1;1;2;5;1;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;1177,97182965445
419068;237;1;1;1;11;1;1;3;2;2;1;2;2;2; ; ; ; ; ;1;1;4;1;6; ; ; ;2;1245,15469175347
419069;237;2;1;2;4;1;4;3;4;2;1;2;2;2;2;1;2;2;2;1;2; ; ; ; ; ;3;2;948,635821401367
419071;237;2;1;2;10;1;4;4;2;1;1;2;2;2;1;2;2;2;2;2;1;1;1;4;2;4; ;2;746,196741297377
419074;237;3;1;3;8;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;738,678851048988
419077;237;1;1;1;11;1;1;2;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;625,947467630215
419081;237;2;1;2;6;1;1;3;2;2;1;1;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;1092,17763367203
419083;237;1;1;1;7;1;4;4;2;1;2;2;2;2;2;1;2;1;2;2;2; ; ; ; ; ;1;2;1123,32353227191
419083;237;3;1;3;4;1;3;4;5;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;1;2;1123,32353227191
419084;237;3;1;3;1;1;1;4;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;1003,28146548165
419085;237;1;1;1;12;1;4;2;5;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;1647,02128162845
419085;237;2;1;2;12;1;3;4;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;2;2;1647,02128162845
419088;237;2;1;2;2;1;3;4;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;1189,39270103868
419097;237;5;1;5;10;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;1;4;1;6; ; ; ;2;724,982639518003
419101;237;2;1;2;10;1;4;3;4;1;1;2;2;2;2;1;2;2;2;1;1;3;1;5;2;4; ;2;948,635821401367
419103;237;2;1;2;2;1;4;1;2;1;1;1;2;2;2;1;2;2;2;2;1;4;1;6; ; ; ;2;1243,06497871649
419103;237;5;1;5;3;1;1;2;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;1243,06497871649
419106;237;4;1;4;9;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2;847,09614678259
419107;237;1;1;1;11;1;1;4;1;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;910,712166172261
419109;237;1;1;1;10;1;4;4;2;2;1;2;2;2;2;2;2;2;2;2;1;4;1;5; ; ; ;2;1055,58436114686
419110;237;1;1;1;10;1;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2;736,688511987525
419110;237;2;1;2;7;1;3;2;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2;736,688511987525
419110;237;3;1;3;3;1;4;2;2;1;1;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;736,688511987525
419113;237;1;1;1;10;1;3;3;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2;1044,16348976263
419118;237;2;1;2;10;2;1;2;4;1;1;1;2;2; ; ; ; ; ;2;1;1;1;6;2;3; ;2;1373,86120690292
419122;237;1;1;1;3;1;1;2;5;1;2;2;2;2; ; ; ; ; ;2;1;2;2;5;2;4; ;2;1044,16348976263
419123;237;4;1;4;2;1;3;2;5;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;1206,2614368583
419123;237;5;1;5;12;1;3;3;2;2;1;2;2;2;2;1;2;1;2;2;2; ; ; ; ; ;9;2;1206,2614368583
419123;237;6;1;6;12;1;4;4;11;1;1;1;2;2;2;1;2;1;2;2;2; ; ; ; ; ;6;2;1206,2614368583
419128;237;1;1;1;3;1;2;3;2;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;1017,35101223115
419130;237;2;1;2;12;2;7;2;1;2;2;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ;6;2;963,825481521777
419131;237;1;1;1;7;1;3;3;5;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;1082,08714499173
419131;237;2;1;2;5;1;4;4;2;2;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;1082,08714499173
419135;237;4;1;4;10;1;1;3;5;1;2;2;2;2; ; ; ; ; ;1;1;4;1;5; ; ; ;2;838,637411186641
419137;237;3;1;3;11;1;4;1;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;1293,16618236061
419140;237;1;1;1;6;1;2;3;11;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2;1111,34635186164
419145;237;1;1;1;12;1;7;2;1;2;2;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;963,825481521777
419148;237;1;1;1;11;1;7;4;9;2;2;2;1;2;2;2;2;2;2;2;1;4;1;2; ; ; ;2;870,139835577891
419150;237;3;1;3;5;1;4;4;5;2;2;2;1;2;2;2;2;2;1;2;2; ; ; ; ; ;3;2;1097,27680511214
419151;237;2;1;2;3;1;4;2;2;1;1;1;2;2;2;1;2;1;2;2;1;3;1;5;1; ; ;1;910,712166172261
419153;237;2;1;2;11;1;1;4;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;1134,74440365614
419155;237;2;1;2;1;1;1;3;5;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;1082,08714499173
419157;237;1;1;1;2;1;1;2;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;1023,46244284225
419158;237;2;1;2;3;1;8;3;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;1;1044,16348976263
419159;237;3;1;3;7;1;1;4;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;6;2;1170,20748565511
419161;237;1;1;1;6;1;4;4;7;1;1;2;2;2;2;1;2;2;2;2;1;2;2;4;1; ; ;2;1257,13187216373
419161;237;2;1;2;7;1;3;4;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;1257,13187216373
419162;237;3;1;3;5;1;4;3;2;2;2;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;992,170287784023
419170;237;1;1;1;2;1;4;3;2;1;2;2;2;2;2;2;2;1;2;2;1;3;1;3;2;2; ;2;979,427357002043
419174;237;4;1;4;6;1;4;3;2;1;1;1;1;2;2;2;2;2;2;1;1;1;1;2;2;2; ;2;1114,35581026478
419176;237;2;1;2;2;1;4;4;2;2;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;915,811337612372
419179;237;1;1;1;4;1;1;4;5;2;1;2;2;2; ; ; ; ; ;2;1;4;1;5; ; ; ;2;1044,16348976263
419179;237;2;1;2;6;1;1;4;5;1;2;2;2;2; ; ; ; ; ;2;1;4;1;5; ; ; ;2;1044,16348976263
419180;237;3;1;3;3;1;1;3;1;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;1;1134,74440365614
419181;237;1;1;1;8;1;1;2;5;1;2;2;2;2; ; ; ; ; ;1;1;3;1;6;2;4; ;2;900,621677491962
419181;237;2;1;2;3;1;4;4;5;1;2;2;2;2;2;1;2;2;2;1;1;2;2;4;1; ; ;2;900,621677491962
419184;237;2;1;2;6;1;4;3;2;1;1;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;1;2;885,68651199976
419190;237;2;1;2;6;1;1;9;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;764,831372222937
419192;237;2;1;2;8;1;3;2;2;1;1;1;2;2;2;1;2;2;2;1;1;4;2;2; ; ; ;2;989,872208681544
419195;237;1;1;1;5;1;4;4;4;1;1;1;2;2;2;1;2;2;2;1;1;1;1;2;2;3; ;2;927,434155023439
419196;237;3;1;3;7;1;1;3;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;938,855026407673
419199;237;2;1;2;2;1;7;4;5;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;908,063490806997
419200;237;3;1;3;8;1;1;4;5;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;1011,69602227509
419204;237;1;1;1;11;1;1;2;5;1;1;2;2;2; ; ; ; ; ;2;1;4;1;6; ; ; ;2;912,042548876196
419205;237;2;1;2;9;1;1;2;2;1;2;2;2;2; ; ; ; ; ;2;1;4;1;6; ; ; ;2;805,403702817307
419205;237;3;1;3;7;1;1;3;5;1;2;2;2;2; ; ; ; ; ;1;1;3;1;1;1; ; ;2;805,403702817307
419206;237;2;1;2;12;1;4;1;2;1;2;2;2;2;2;1;2;2;2;2;1;4;1;3; ; ; ;2;975,448298932844
419207;237;4;1;4;10;1;4;4;2;2;1;2;2;2;2;1;2;1;2;2;2; ; ; ; ; ;1;2;1040,54144799489
419208;237;2;1;2;11;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;7;2;833,546563052719
419225;237;3;1;3;1;1;4;1;2;2;2;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;560,010470027549
419237;237;3;1;3;6;1;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;70,2050040426554
419237;237;5;1;5;1;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;2;2;70,2050040426554
419246;237;2;1;2;3;1;7;2;7;1;1;1;1;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;1475,13994355463
419262;237;1;1;1;7;1;1;3;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;554,813739772708
419279;237;4;1;4;12;2;7;3;2;1;1;1;2;2;2;2;2;2;2;2;1;4;1;5; ; ; ;2;615,02988660662
419284;237;1;1;1;6;1;1;3;2;1;2;2;2;2; ; ; ; ; ;2;1;1;1;5;1; ; ;2;567,806719241776
419284;237;3;1;3;3;2;1;2;6;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;567,806719241776
419296;237;2;1;2;1;1;4;2;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;61,3836114612534
419298;237;2;1;2;11;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2;58,1894677112139
419299;237;1;1;1;8;1;3;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1; ; ;2;93,8077382084355
419300;237;2;1;2;12;1;7;4;1;1;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;50,1991987875661
419301;237;1;1;1;8;1;3;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1; ;2;44,5093687758436
419307;237;2;1;2;4;1;2;3;1;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;91,881529334449
419313;237;5;1;5;7;1;1;3;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;5;2;59,5815406763437
419314;237;1;1;1;10;1;4;4;2;1;1;1;2;2;2;1;1;2;2;2;1;4;1;6; ; ; ;2;70,7747955604977
419315;237;1;1;1;11;1;7;1;2;2;2;1;2;2;2;2;2;2;2;2;1;4;1;5; ; ; ;2;71,8148221549536
419315;237;2;1;2;3;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;4;1;4; ; ; ;2;71,8148221549536
419319;237;3;1;3;6;1;3;2;2;1;1;1;2;2;2;2;2;2;2;2;1;5;1;1; ; ; ;2;60,3393241885126
419319;237;4;1;4;5;1;4;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;60,3393241885126
419336;237;2;1;2;9;1;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2;53,7706352237001
419337;237;2;1;2;9;1;1;3;2;2;1;2;2;2; ; ; ; ; ;2;1;4;1;6; ; ; ;2;81,5609125421163
419339;237;1;1;1;6;1;3;3;2;1;1;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;6;2;116,496938034372
419342;237;1;1;1;12;1;4;4;2;2;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;63,0625129047953
419342;237;2;1;2;3;1;4;4;1;1;1;1;1;2;2;1;2;1;2;2;1;5;1;6; ; ; ;2;63,0625129047953
419343;237;1;1;1;2;1;7;2;7;1;2;2;2;2;2;2;2;2;2;1;2; ; ; ; ; ;3;2;77,1233849504159
419345;237;2;1;2;4;1;7;2;2;1;1;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;50,2582000935384
419360;237;2;1;2;6;1;1;3;1;1;2;2;2;2; ; ; ; ; ;2;1;1;1;1;1; ; ;2;67,4747991346273
419366;237;2;1;2;11;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;1;72,6703925226725
419368;237;1;1;1;7;1;7;2;1;2;2;2;1;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;77,1956481599216
419370;237;4;1;4;4;1;3;4;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;69,4941674866338
419374;237;2;1;2;6;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;1;5;1;1; ; ; ;2;66,8004819001133
419375;237;1;1;1;6;1;4;3;2;1;2;2;2;2;2;1;2;2;2;2;1;1;2;6;2;1; ;2;79,356311573187
419381;237;2;1;2;11;1;1;3;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;52,5291358757014
419381;237;4;1;4;8;1;3;4;2;2;2;1;2;2;2;2;2;1;2;1;1;4;1;6; ; ; ;2;52,5291358757014
419393;237;2;1;2;4;1;3;4;2;2;2;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;80,4017713682961
419393;237;6;1;6;11;1;3;3;5;2;1;1;2;2;2;1;2;1;2;2;2; ; ; ; ; ;5;2;80,4017713682961
419393;237;7;1;7;1;1;4;2;2;2;1;2;2;2;1;2;2;1;2;2;1;1;1;2;1; ; ;2;80,4017713682961
419415;237;1;1;1;8;1;4;3;7;1;1;2;1;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;50,4267012421657
419417;237;1;1;1;12;1;3;4;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2;69,0629116526466
419430;237;1;1;1;8;1;4;3;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;2;2;61,2411438776262
419441;237;3;1;3;2;1;2;4;1;1;2;2;2;2;2;2;2;2;2;2;1;4;1;5; ; ; ;2;76,2390878431206
419446;237;2;1;2;3;1;3;3;2;2;1;2;2;2;2;1;2;2;2;2;1;5;1;4; ; ; ;2;84,737137578155
419454;237;1;1;1;11;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;72,2636016603679
419456;237;1;1;1;2;1;4;3;2;1;2;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2;44,987646457468
419456;237;2;1;2;2;1;3;3;5;2;2;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;5;2;44,987646457468
419458;237;1;1;1;3;1;1;4;2;2;1;1;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;61,0136414230265
419465;237;1;1;1;2;1;3;4;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1; ; ;2;64,2733327367201
419466;237;1;1;1;3;1;1;3;2;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;6;2;70,7344904483209
419466;237;2;1;2;5;1;3;3;2;2;1;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;6;2;70,7344904483209
419473;237;4;1;4;4;1;3;4;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;45,1715966291924
419476;237;1;1;1;8;1;3;3;2;1;2;2;2;2;2;1;2;2;2;2;1;4;1;2; ; ; ;2;52,5386208383528
419476;237;2;1;2;8;1;3;4;2;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;52,5386208383528
419477;237;2;1;2;11;1;4;3;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;58,8311514491934
419482;237;4;1;4;9;1;3;4;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;47,1789855228639
419482;237;5;1;5;9;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;47,1789855228639
419484;237;3;1;3;3;1;4;4;4;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;66,2566566548347
419485;237;4;1;4;6;1;1;3;4;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;60,3393241885126
419493;237;2;1;2;12;1;4;1;2;2;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;7;2;2123,66400375703
