DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P578;P1341;P1229;P1335;P1338;P1339S3;P1339S5;P1339S1;P1339S2;P1339S6;P580S1;P580S2;P580S3;P580S5;P580S6;P1598;P1324;P582;P583;P1114;P1599;P1600;P1113;P1318
600226;237;1;1;1;53,7018946317349;11;1;3;3;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;4;2
600227;237;2;1;2;50,9026956002698;8;1;4;3;8;1;2;1;2;2;1;2;2;2;2;2;1;3;1;4;1; ; ;2
600228;237;1;1;1;51,2472044407207;7;1;3;4;2;1;1;1;2;2;2;2;2;1;2;1;1;4; ;5; ; ; ;1
600230;237;2;1;2;82,7273494746563;6;1;7;3;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
600242;237;2;1;2;60,146689432315;1;1;3;4;2;1;2;2;2;2;2;1;2;2;2;1;1;5; ;1; ; ; ;2
600246;237;3;1;3;62,6953405359149;5;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2
600276;237;4;1;4;94,1336316357221;6;1;1;3;5;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2
600288;237;2;1;2;64,6176765856786;6;1;3;3;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;6;2
600292;237;1;1;1;53,324603698823;6;1;3;4;3;1;1;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;4;1
600292;237;2;1;2;53,324603698823;3;2;4;4;1;1;1;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;6;2
600295;237;2;1;2;57,8003329665479;12;1;3;1;4;1;2;2;2;2;2;2;2;1;2;1;1;1;1;3;1; ; ;2
600301;237;3;1;3;89,8798655596816;12;1;4;4;2;1;1;1;2;2;1;1;1;1;2;2;2; ; ; ; ; ;4;2
600313;237;1;1;1;63,9895244385876;2;1;1;2;2;2;2;1;2;2; ; ; ; ; ;2;2; ; ; ; ; ;6;2
600326;237;1;1;1;69,8124630212554;10;1;3;3;1;2;1;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
600343;237;1;1;1;54,7829612351413;1;1;4;4;2;1;1;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;7;2
600354;237;2;1;2;61,899527562689;9;1;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
600360;237;1;1;1;82,6210289720775;2;1;4;3;2;1;1;2;2;2;1;2;2;2;2;2;1;3;1;1;1; ; ;2
600385;237;1;1;1;103,165879271148;11;1;7;3;1;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5; ;2
600390;237;1;1;1;89,4772368978137;10;1;3;3;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
600390;237;2;1;2;89,4772368978137;12;1;4;3;2;1;2;2;2;2;2;1;2;2;2;1;2; ; ; ; ; ;6;2
600394;237;1;1;1;95,8319679471858;3;1;4;1;1;2;1;1;2;2;2;2;2;2;2;1;1;1;1;2;2;4; ;2
600396;237;2;1;2;73,8184046032403;12;1;4;3;2;1;1;2;2;2;1;2;2;2;2;1;1;4; ;2; ; ; ;2
600404;237;2;1;2;67,9653757804437;3;1;3;3;5;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
600406;237;1;1;1;72,1566435323998;1;1;3;1;2;1;2;2;2;2;2;2;2;2;2;2;1;3;1;5;2;5; ;2
600417;237;1;1;1;55,263206904529;11;1;4;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
600421;237;1;1;1;88,9156811668688;2;1;2;3;4;1;2;2;2;2;2;2;2;2;2;2;1;3;1;2;2;4; ;2
600428;237;2;1;2;353,439415900748;9;1;4;4;2;1;2;2;2;2;2;1;2;1;2;1;1;1;1;1;1; ; ;2
600440;237;2;1;2;539,247385680557;5;1;3;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
600442;237;3;1;3;743,306882165735;9;1;4;4;4;2;1;1;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;1
600456;237;3;1;3;78,306116013786;9;2;4;2;4;1;1;1;2;2;2;1;2;1;2;1;1;1;1;5;2;3; ;2
600459;237;1;1;1;121,161512426881;12;1;3;4;4;1;2;2;2;2;2;2;2;1;2;1;1;1;1;1;1; ; ;2
600459;237;6;1;6;121,161512426881;1;1;7;1;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2
600467;237;1;1;1;84,1440488220424;9;2;4;4;2;2;1;2;2;2;1;1;2;2;2;2;2; ; ; ; ; ;6;2
600467;237;3;1;3;84,1440488220424;10;1;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;10;2
600470;237;2;1;2;62,8075320977598;11;1;3;2;2;1;1;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
600471;237;1;1;1;81,9455406000058;5;1;3;4;2;1;1;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
600473;237;1;1;1;73,5972660121798;5;1;7;2;7;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;7;2
600479;237;1;1;1;82,6045807589833;5;1;4;3;11;1;1;1;2;2;1;2;2;2;2;1;1;5; ;5; ; ; ;2
600484;237;3;1;3;90,6097396996586;10;1;3;3;2;1;2;2;2;2;2;1;2;2;2;2;1;4; ;4; ; ; ;2
600502;237;1;1;1;110,340781473882;6;1;4;1;5;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
600507;237;4;1;4;113,177084223511;12;1;4;2;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1; ; ;1
600511;237;1;1;1;106,354755160364;4;2;7;3;9;2;2;1;1;2;2;2;2;2;2;2;1;2;1;6;1; ; ;2
600520;237;2;1;2;101,907230099248;12;1;7;1;1;2;1;1;2;1;2;2;2;2;2;2;2; ; ; ; ; ;6;2
600524;237;1;1;1;95,0894558706762;5;1;4;4;5;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;1;2
600540;237;5;1;5;87,5321205948969;3;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
600542;237;2;1;2;118,012880816282;12;1;1;3;3;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;4;2
600546;237;1;1;1;96,2482143355662;2;1;4;1;9;1;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2
600551;237;3;1;3;111,307457622341;3;1;4;2;5;1;2;2;2;2;1;2;2;2;2;2;1;4; ;4; ; ; ;2
600553;237;1;1;1;104,572675188116;3;1;4;3;2;1;1;1;2;2;1;2;2;2;2;1;1;5; ;6; ; ; ;2
600553;237;3;1;3;104,572675188116;3;1;4;3;2;1;1;1;2;2;1;2;2;2;2;1;1;5; ;6; ; ; ;2
600556;237;3;1;3;102,061248659275;2;1;7;2;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2
